loan_id,loan_account_no,customer_id,product_id,disbursement_date,tenure_months,principal_amount,interest_rate_pct,emi_amount,installments_paid,outstanding_principal,days_past_due,loan_status,loan_purpose,disbursed_branch_id,date_key
1,LN000001,19,9,2021-10-07,120,225181.4,8.06,2739.22,25,162868.19,0,Active,Home Renovation,BR003,20211007
2,LN000002,29,9,2021-10-05,120,80184.18,10.98,1103.63,109,6703.33,0,Active,Home Purchase,BR004,20211005
3,LN000003,54,9,2020-10-30,24,227789.35,9.74,10484.01,5,162860.43,0,Active,Education,BR002,20201030
4,LN000004,30,8,2020-10-13,24,52989.23,13.68,2536.16,11,27802.06,60,Active,Medical Emergency,BR002,20201013
5,LN000005,2,8,2021-02-08,180,364385.05,8.42,3571.18,118,113594.92,60,Active,Debt Consolidation,BR008,20210208
6,LN000006,2,9,2023-10-31,120,93201.8,14.13,1454.41,4,86618.36,0,Active,Travel,BR007,20231031
7,LN000007,57,10,2022-09-08,12,568110.69,13.48,50870.13,3,410350.09,0,Closed,Debt Consolidation,BR006,20220908
8,LN000008,31,10,2024-05-19,180,136008.53,7.7,1276.32,152,19504.57,30,Closed,Home Purchase,BR008,20240519
9,LN000009,34,9,2024-04-19,48,293494.97,13.62,7964.35,47,5537.22,180,NPA,Education,BR010,20240419
10,LN000010,55,9,2021-12-27,36,714763.66,14.35,24550.61,1,674301.78,0,Active,Vehicle Purchase,BR010,20211227
11,LN000011,13,9,2023-01-15,60,326574.62,7.65,6567.19,30,146969.74,30,Active,Vehicle Purchase,BR006,20230115
12,LN000012,46,8,2021-10-24,12,710626.42,13.85,63754.95,5,412897.11,0,Closed,Debt Consolidation,BR010,20211024
13,LN000013,7,9,2021-09-10,84,410252.72,14.7,7847.65,83,4550.52,0,Active,Business Expansion,BR004,20210910
14,LN000014,43,10,2020-12-25,120,781948.91,14.62,12434.23,73,287630.31,180,NPA,Home Purchase,BR003,20201225
