DIRECTORKEY,DIRECTORKEYDAY,TEAM,DIRECTORGOAL,GOALDATE,GOALDAY,DIRECTORGOALDAY,DAYSINMONTH
202501_Alan Day,20250101_Alan Day,Alan Day,2116,202501,20250101,47,22
202501_Bryan Reed,20250101_Bryan Reed,Bryan Reed,1475,202501,20250101,78,22
202501_Brian Derenda,20250101_Brian Derenda,Brian Derenda,1736,202501,20250101,72,22
202502_Alan Day,20250201_Alan Day,Alan Day,1328,202502,20250201,72,22
202502_Bryan Reed,20250201_Bryan Reed,Bryan Reed,2499,202502,20250201,80,22
202502_Brian Derenda,20250201_Brian Derenda,Brian Derenda,2163,202502,20250201,79,22
202503_Alan Day,20250301_Alan Day,Alan Day,2112,202503,20250301,86,22
202503_Bryan Reed,20250301_Bryan Reed,Bryan Reed,2495,202503,20250301,57,22
202503_Brian Derenda,20250301_Brian Derenda,Brian Derenda,1576,202503,20250301,49,22
202504_Alan Day,20250401_Alan Day,Alan Day,1776,202504,20250401,81,22
202504_Bryan Reed,20250401_Bryan Reed,Bryan Reed,2442,202504,20250401,81,22
202504_Brian Derenda,20250401_Brian Derenda,Brian Derenda,2179,202504,20250401,45,22
202505_Alan Day,20250501_Alan Day,Alan Day,1629,202505,20250501,87,22
202505_Bryan Reed,20250501_Bryan Reed,Bryan Reed,1462,202505,20250501,46,22
202505_Brian Derenda,20250501_Brian Derenda,Brian Derenda,1773,202505,20250501,57,22
202506_Alan Day,20250601_Alan Day,Alan Day,1837,202506,20250601,87,22
202506_Bryan Reed,20250601_Bryan Reed,Bryan Reed,2214,202506,20250601,61,22
202506_Brian Derenda,20250601_Brian Derenda,Brian Derenda,1636,202506,20250601,58,22
202507_Alan Day,20250701_Alan Day,Alan Day,1828,202507,20250701,64,22
202507_Bryan Reed,20250701_Bryan Reed,Bryan Reed,1465,202507,20250701,51,22
202507_Brian Derenda,20250701_Brian Derenda,Brian Derenda,1288,202507,20250701,71,22
202508_Alan Day,20250801_Alan Day,Alan Day,1939,202508,20250801,49,22
202508_Bryan Reed,20250801_Bryan Reed,Bryan Reed,1292,202508,20250801,46,22
202508_Brian Derenda,20250801_Brian Derenda,Brian Derenda,1802,202508,20250801,70,22
202509_Alan Day,20250901_Alan Day,Alan Day,1203,202509,20250901,49,22
202509_Bryan Reed,20250901_Bryan Reed,Bryan Reed,1224,202509,20250901,85,22
202509_Brian Derenda,20250901_Brian Derenda,Brian Derenda,1798,202509,20250901,52,22
202510_Alan Day,20251001_Alan Day,Alan Day,1608,202510,20251001,52,22
202510_Bryan Reed,20251001_Bryan Reed,Bryan Reed,1680,202510,20251001,66,22
202510_Brian Derenda,20251001_Brian Derenda,Brian Derenda,1950,202510,20251001,66,22
202511_Alan Day,20251101_Alan Day,Alan Day,2132,202511,20251101,81,22
202511_Bryan Reed,20251101_Bryan Reed,Bryan Reed,1821,202511,20251101,53,22
202511_Brian Derenda,20251101_Brian Derenda,Brian Derenda,1296,202511,20251101,75,22
202512_Alan Day,20251201_Alan Day,Alan Day,1500,202512,20251201,88,22
202512_Bryan Reed,20251201_Bryan Reed,Bryan Reed,1461,202512,20251201,88,22
202512_Brian Derenda,20251201_Brian Derenda,Brian Derenda,1675,202512,20251201,83,22
