Date,SaleRep,EnrollDate,ClientID,ClientStatus,CancelDate,Cancel,DaysToCancel,EarlyCancellation,CancelledDebt,Program,CANCELREASON,SALESREPDAY
202501,Naddia Bazar,01/01/2025,500004,Cancelled,01/12/2025,1,11,1,10082,JGW,Buyer Remorse,20250101_Naddia Bazar
202501,Tara Singh,01/02/2025,500035,Cancelled,01/17/2025,1,15,1,25546,JGW,Buyer Remorse,20250102_Tara Singh
202501,Victor Chen,01/02/2025,500054,Cancelled,01/15/2025,1,13,1,37735,JGW,Not Responsive,20250102_Victor Chen
202501,Jenna Marks,01/03/2025,500061,Cancelled,01/19/2025,1,16,1,40021,JGW,Financial Hardship,20250103_Jenna Marks
202501,Jenna Marks,01/03/2025,500062,Cancelled,01/10/2025,1,7,1,23692,JGW,Buyer Remorse,20250103_Jenna Marks
202501,Sofia Cruz,01/03/2025,500074,Cancelled,01/15/2025,1,12,1,30156,JGW,Not Responsive,20250103_Sofia Cruz
202501,Sofia Cruz,01/03/2025,500075,Cancelled,01/09/2025,1,6,1,22432,JGW,Buyer Remorse,20250103_Sofia Cruz
202501,Victor Chen,01/06/2025,500108,Cancelled,01/26/2025,1,20,1,11746,JGW,Not Responsive,20250106_Victor Chen
202501,Jay Harris,01/07/2025,500115,Cancelled,01/14/2025,1,7,1,46962,JGW,Financial Hardship,20250107_Jay Harris
202501,Naddia Bazar,01/07/2025,500122,Cancelled,01/15/2025,1,8,1,12754,JGW,Buyer Remorse,20250107_Naddia Bazar
202501,Victor Chen,01/07/2025,500138,Cancelled,01/25/2025,1,18,1,63450,JGW,Financial Hardship,20250107_Victor Chen
202501,Victor Chen,01/07/2025,500139,Cancelled,01/16/2025,1,9,1,10889,JGW,Not Responsive,20250107_Victor Chen
202501,Jay Harris,01/08/2025,500144,Cancelled,01/24/2025,1,16,1,43755,JGW,Not Responsive,20250108_Jay Harris
202501,Tara Singh,01/08/2025,500154,Cancelled,01/23/2025,1,15,1,35020,JGW,Financial Hardship,20250108_Tara Singh
202501,Marcus Lee,01/08/2025,500162,Cancelled,01/19/2025,1,11,1,22609,JGW,Financial Hardship,20250108_Marcus Lee
202501,Alexander Dagen,01/08/2025,500169,Cancelled,01/26/2025,1,18,1,25397,JGW,Financial Hardship,20250108_Alexander Dagen
202501,Lisa Wong,01/09/2025,500187,Cancelled,01/23/2025,1,14,1,62639,JGW,Buyer Remorse,20250109_Lisa Wong
202501,Victor Chen,01/10/2025,500227,Cancelled,01/28/2025,1,18,1,35248,JGW,Financial Hardship,20250110_Victor Chen
202501,Evan Baker,01/13/2025,500228,Cancelled,01/30/2025,1,17,1,53581,JGW,Financial Hardship,20250113_Evan Baker
202501,Tara Singh,01/13/2025,500239,Cancelled,01/30/2025,1,17,1,43004,JGW,Not Responsive,20250113_Tara Singh
202501,Jay Harris,01/14/2025,500260,Cancelled,01/19/2025,1,5,1,28384,JGW,Financial Hardship,20250114_Jay Harris
202501,Alexander Dagen,01/14/2025,500268,Cancelled,02/01/2025,1,18,1,30362,JGW,Financial Hardship,20250114_Alexander Dagen
202501,Sofia Cruz,01/15/2025,500284,Cancelled,01/26/2025,1,11,1,44424,JGW,Buyer Remorse,20250115_Sofia Cruz
202501,Naddia Bazar,01/16/2025,500305,Cancelled,01/25/2025,1,9,1,27809,JGW,Financial Hardship,20250116_Naddia Bazar
202501,Marcus Lee,01/16/2025,500315,Cancelled,01/25/2025,1,9,1,52987,JGW,Not Responsive,20250116_Marcus Lee
202501,Marcus Lee,01/16/2025,500316,Cancelled,01/28/2025,1,12,1,27912,JGW,Buyer Remorse,20250116_Marcus Lee
202501,Evan Baker,01/17/2025,500327,Cancelled,01/22/2025,1,5,1,44175,JGW,Financial Hardship,20250117_Evan Baker
202501,Tara Singh,01/17/2025,500337,Cancelled,01/31/2025,1,14,1,12679,JGW,Not Responsive,20250117_Tara Singh
202501,Sofia Cruz,01/17/2025,500345,Cancelled,01/29/2025,1,12,1,24408,JGW,Not Responsive,20250117_Sofia Cruz
202501,Jay Harris,01/20/2025,500355,Cancelled,01/30/2025,1,10,1,51917,JGW,Financial Hardship,20250120_Jay Harris
202501,Tara Singh,01/20/2025,500363,Cancelled,02/05/2025,1,16,1,35082,JGW,Not Responsive,20250120_Tara Singh
202501,Sofia Cruz,01/20/2025,500371,Cancelled,02/07/2025,1,18,1,44099,JGW,Buyer Remorse,20250120_Sofia Cruz
202501,Tara Singh,01/21/2025,500392,Cancelled,02/10/2025,1,20,1,34920,JGW,Not Responsive,20250121_Tara Singh
202501,Alexander Dagen,01/21/2025,500401,Cancelled,02/03/2025,1,13,1,18116,JGW,Financial Hardship,20250121_Alexander Dagen
202501,Victor Chen,01/21/2025,500403,Cancelled,02/05/2025,1,15,1,50587,JGW,Not Responsive,20250121_Victor Chen
202501,Evan Baker,01/22/2025,500406,Cancelled,01/29/2025,1,7,1,43456,JGW,Buyer Remorse,20250122_Evan Baker
202501,Evan Baker,01/22/2025,500409,Cancelled,01/30/2025,1,8,1,56940,JGW,Not Responsive,20250122_Evan Baker
202501,Jenna Marks,01/22/2025,500411,Cancelled,01/28/2025,1,6,1,9897,JGW,Financial Hardship,20250122_Jenna Marks
202501,Marcus Lee,01/22/2025,500422,Cancelled,02/07/2025,1,16,1,18353,JGW,Not Responsive,20250122_Marcus Lee
202501,Alexander Dagen,01/22/2025,500431,Cancelled,01/28/2025,1,6,1,25988,JGW,Not Responsive,20250122_Alexander Dagen
202501,Jenna Marks,01/23/2025,500441,Cancelled,02/06/2025,1,14,1,16612,JGW,Financial Hardship,20250123_Jenna Marks
202501,Sofia Cruz,01/23/2025,500462,Cancelled,02/07/2025,1,15,1,38898,JGW,Not Responsive,20250123_Sofia Cruz
202501,Naddia Bazar,01/24/2025,500475,Cancelled,02/09/2025,1,16,1,26333,JGW,Buyer Remorse,20250124_Naddia Bazar
202501,Lisa Wong,01/24/2025,500484,Cancelled,02/08/2025,1,15,1,9399,JGW,Buyer Remorse,20250124_Lisa Wong
202501,Marcus Lee,01/24/2025,500485,Cancelled,02/04/2025,1,11,1,21448,JGW,Not Responsive,20250124_Marcus Lee
202501,Marcus Lee,01/24/2025,500489,Cancelled,02/02/2025,1,9,1,47058,JGW,Buyer Remorse,20250124_Marcus Lee
202501,Sofia Cruz,01/24/2025,500492,Cancelled,01/29/2025,1,5,1,64783,JGW,Financial Hardship,20250124_Sofia Cruz
202501,Alexander Dagen,01/24/2025,500494,Cancelled,02/11/2025,1,18,1,25391,JGW,Not Responsive,20250124_Alexander Dagen
202501,Jay Harris,01/27/2025,500502,Cancelled,02/16/2025,1,20,1,10041,JGW,Financial Hardship,20250127_Jay Harris
202501,Jay Harris,01/27/2025,500505,Cancelled,02/03/2025,1,7,1,37069,JGW,Financial Hardship,20250127_Jay Harris
202501,Alexander Dagen,01/27/2025,500523,Cancelled,02/11/2025,1,15,1,44462,JGW,Not Responsive,20250127_Alexander Dagen
202501,Jay Harris,01/29/2025,500559,Cancelled,02/09/2025,1,11,1,47277,JGW,Financial Hardship,20250129_Jay Harris
202501,Evan Baker,01/30/2025,500596,Cancelled,02/18/2025,1,19,1,36820,JGW,Not Responsive,20250130_Evan Baker
202501,Evan Baker,01/30/2025,500598,Cancelled,02/06/2025,1,7,1,46759,JGW,Financial Hardship,20250130_Evan Baker
