REPKEY,REPKEYDAY,REP,TEAM,TARGETENROLLMENTS,TARGETDEBT,TARGETDATE,TARGETDAY,TARGETENROLLMENTSDAY,TARGETDEBTDAY,DIRECTORKEY,DIRECTORKEYDAY
202501_Evan Baker,20250101_Evan Baker,Evan Baker,Alpha,22,550000,202501,20250101,1.0,25000.0,202501_Alan Day,20250101_Alan Day
202501_Jay Harris,20250101_Jay Harris,Jay Harris,Alpha,15,375000,202501,20250101,0.68,17045.45,202501_Alan Day,20250101_Alan Day
202501_Jenna Marks,20250101_Jenna Marks,Jenna Marks,Alpha,17,425000,202501,20250101,0.77,19318.18,202501_Alan Day,20250101_Alan Day
202501_Naddia Bazar,20250101_Naddia Bazar,Naddia Bazar,Beta,30,750000,202501,20250101,1.36,34090.91,202501_Bryan Reed,20250101_Bryan Reed
202501_Tara Singh,20250101_Tara Singh,Tara Singh,Beta,28,700000,202501,20250101,1.27,31818.18,202501_Bryan Reed,20250101_Bryan Reed
202501_Lisa Wong,20250101_Lisa Wong,Lisa Wong,Beta,24,600000,202501,20250101,1.09,27272.73,202501_Bryan Reed,20250101_Bryan Reed
202501_Marcus Lee,20250101_Marcus Lee,Marcus Lee,Gamma,19,475000,202501,20250101,0.86,21590.91,202501_Brian Derenda,20250101_Brian Derenda
202501_Sofia Cruz,20250101_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202501,20250101,1.68,42045.45,202501_Brian Derenda,20250101_Brian Derenda
202501_Alexander Dagen,20250101_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202501,20250101,1.18,29545.45,202501_Brian Derenda,20250101_Brian Derenda
202501_Victor Chen,20250101_Victor Chen,Victor Chen,Gamma,22,550000,202501,20250101,1.0,25000.0,202501_Brian Derenda,20250101_Brian Derenda
202502_Evan Baker,20250201_Evan Baker,Evan Baker,Alpha,22,550000,202502,20250201,1.0,25000.0,202502_Alan Day,20250201_Alan Day
202502_Jay Harris,20250201_Jay Harris,Jay Harris,Alpha,15,375000,202502,20250201,0.68,17045.45,202502_Alan Day,20250201_Alan Day
202502_Jenna Marks,20250201_Jenna Marks,Jenna Marks,Alpha,17,425000,202502,20250201,0.77,19318.18,202502_Alan Day,20250201_Alan Day
202502_Naddia Bazar,20250201_Naddia Bazar,Naddia Bazar,Beta,30,750000,202502,20250201,1.36,34090.91,202502_Bryan Reed,20250201_Bryan Reed
202502_Tara Singh,20250201_Tara Singh,Tara Singh,Beta,28,700000,202502,20250201,1.27,31818.18,202502_Bryan Reed,20250201_Bryan Reed
202502_Lisa Wong,20250201_Lisa Wong,Lisa Wong,Beta,24,600000,202502,20250201,1.09,27272.73,202502_Bryan Reed,20250201_Bryan Reed
202502_Marcus Lee,20250201_Marcus Lee,Marcus Lee,Gamma,19,475000,202502,20250201,0.86,21590.91,202502_Brian Derenda,20250201_Brian Derenda
202502_Sofia Cruz,20250201_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202502,20250201,1.68,42045.45,202502_Brian Derenda,20250201_Brian Derenda
202502_Alexander Dagen,20250201_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202502,20250201,1.18,29545.45,202502_Brian Derenda,20250201_Brian Derenda
202502_Victor Chen,20250201_Victor Chen,Victor Chen,Gamma,22,550000,202502,20250201,1.0,25000.0,202502_Brian Derenda,20250201_Brian Derenda
