REPKEY,RANKDATE,RANKDATEVALUE,RANKDAYVALUE,ORIGINALREP,ENROLLMENTS,NETENROLLMENTS,TOTALDEBT,NETDEBT,EARLYCANCELLATION,CANCELLEDDEBT,ENROLLDATE
20250101_EVAN BAKER,JAN-2025,202501,20250101,Evan Baker,2,2,43168,43168,0,0,"Wednesday, January 01, 2025"
20250101_JAY HARRIS,JAN-2025,202501,20250101,Jay Harris,1,1,52348,52348,0,0,"Wednesday, January 01, 2025"
20250101_JENNA MARKS,JAN-2025,202501,20250101,Jenna Marks,0,0,0,0,0,0,"Wednesday, January 01, 2025"
20250101_NADDIA BAZAR,JAN-2025,202501,20250101,Naddia Bazar,3,2,95981,85899,1,10082,"Wednesday, January 01, 2025"
20250101_TARA SINGH,JAN-2025,202501,20250101,Tara Singh,2,2,48677,48677,0,0,"Wednesday, January 01, 2025"
20250101_LISA WONG,JAN-2025,202501,20250101,Lisa Wong,1,1,8425,8425,0,0,"Wednesday, January 01, 2025"
20250101_MARCUS LEE,JAN-2025,202501,20250101,Marcus Lee,3,3,98324,98324,0,0,"Wednesday, January 01, 2025"
20250101_SOFIA CRUZ,JAN-2025,202501,20250101,Sofia Cruz,6,6,193100,193100,0,0,"Wednesday, January 01, 2025"
20250101_ALEXANDER DAGEN,JAN-2025,202501,20250101,Alexander Dagen,1,1,45837,45837,0,0,"Wednesday, January 01, 2025"
20250101_VICTOR CHEN,JAN-2025,202501,20250101,Victor Chen,0,0,0,0,0,0,"Wednesday, January 01, 2025"
20250102_EVAN BAKER,JAN-2025,202501,20250102,Evan Baker,4,4,162894,162894,0,0,"Thursday, January 02, 2025"
20250102_JAY HARRIS,JAN-2025,202501,20250102,Jay Harris,3,3,146844,146844,0,0,"Thursday, January 02, 2025"
20250102_JENNA MARKS,JAN-2025,202501,20250102,Jenna Marks,4,4,135324,135324,0,0,"Thursday, January 02, 2025"
20250102_NADDIA BAZAR,JAN-2025,202501,20250102,Naddia Bazar,3,3,135572,135572,0,0,"Thursday, January 02, 2025"
20250102_TARA SINGH,JAN-2025,202501,20250102,Tara Singh,6,5,269570,244024,1,25546,"Thursday, January 02, 2025"
20250102_LISA WONG,JAN-2025,202501,20250102,Lisa Wong,4,4,112536,112536,0,0,"Thursday, January 02, 2025"
20250102_MARCUS LEE,JAN-2025,202501,20250102,Marcus Lee,3,3,69335,69335,0,0,"Thursday, January 02, 2025"
20250102_SOFIA CRUZ,JAN-2025,202501,20250102,Sofia Cruz,5,5,140405,140405,0,0,"Thursday, January 02, 2025"
20250102_ALEXANDER DAGEN,JAN-2025,202501,20250102,Alexander Dagen,2,2,77240,77240,0,0,"Thursday, January 02, 2025"
20250102_VICTOR CHEN,JAN-2025,202501,20250102,Victor Chen,2,1,95670,57935,1,37735,"Thursday, January 02, 2025"
20250103_EVAN BAKER,JAN-2025,202501,20250103,Evan Baker,5,5,164459,164459,0,0,"Friday, January 03, 2025"
20250103_JAY HARRIS,JAN-2025,202501,20250103,Jay Harris,0,0,0,0,0,0,"Friday, January 03, 2025"
20250103_JENNA MARKS,JAN-2025,202501,20250103,Jenna Marks,4,2,132214,68501,2,63713,"Friday, January 03, 2025"
